trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 1, 'e': 0.8999999999999999}",25,0,-113.89720570990839,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
101,False,"{'a': 1, 'e': 0.8989999999999999}",30,0,-123.15516028497758,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
102,False,"{'a': 1, 'e': 0.8979999999999999}",35,0,-249.70601849600456,"{0: 20, 1: 3, 2: 6, 3: 2, 4: 4}",0
103,False,"{'a': 1, 'e': 0.8969999999999999}",20,0,-85.72450796049033,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
104,False,"{'a': 1, 'e': 0.8959999999999999}",20,0,-186.1158286475485,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
105,False,"{'a': 1, 'e': 0.8949999999999999}",25,0,-88.21269453873555,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 1, 'e': 0.8939999999999999}",20,0,-78.86677616479814,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
107,False,"{'a': 1, 'e': 0.8929999999999999}",25,0,-46.33180417290631,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
108,False,"{'a': 1, 'e': 0.8919999999999999}",35,11,-6.772075688699809,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
109,False,"{'a': 1, 'e': 0.8909999999999999}",20,0,-135.09634931921622,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
110,False,"{'a': 1, 'e': 0.8899999999999999}",25,0,-160.1206059944866,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
111,False,"{'a': 1, 'e': 0.8889999999999999}",20,0,-68.53650858495203,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
112,False,"{'a': 1, 'e': 0.8879999999999999}",25,20,8.147686685189841,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 1, 'e': 0.8869999999999999}",25,0,-140.35832790691705,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
114,False,"{'a': 1, 'e': 0.8859999999999999}",25,0,-216.49252195250367,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 4}",0
115,False,"{'a': 1, 'e': 0.8849999999999999}",35,8,-84.8867468662344,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 0}",1
116,False,"{'a': 1, 'e': 0.8839999999999999}",25,0,-179.3571960726603,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
117,False,"{'a': 1, 'e': 0.8829999999999999}",25,8,-49.93492200353761,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 1, 'e': 0.8819999999999999}",20,0,-106.27890919287,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
119,False,"{'a': 1, 'e': 0.8809999999999999}",20,11,-24.7055076623285,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
120,False,"{'a': 1, 'e': 0.8799999999999999}",20,0,-113.96353918195345,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
121,False,"{'a': 1, 'e': 0.8789999999999999}",20,0,-80.68364558509847,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 1, 'e': 0.8779999999999999}",25,0,-97.08298080562227,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
123,False,"{'a': 1, 'e': 0.8769999999999999}",25,0,-61.653735846288555,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 1, 'e': 0.8759999999999999}",25,5,-64.48193971249142,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",1
125,False,"{'a': 1, 'e': 0.8749999999999999}",30,0,-125.74352519814096,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
126,False,"{'a': 1, 'e': 0.8739999999999999}",20,0,-174.76561043674403,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
127,False,"{'a': 1, 'e': 0.8729999999999999}",25,0,-72.72680061127303,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
128,False,"{'a': 1, 'e': 0.8719999999999999}",25,0,-111.4002989800369,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
129,False,"{'a': 1, 'e': 0.8709999999999999}",20,0,-116.6610779706952,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
130,False,"{'a': 1, 'e': 0.8699999999999999}",20,0,-44.897742600276615,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
131,False,"{'a': 1, 'e': 0.8689999999999999}",30,4,-93.81128673420866,"{0: 14, 1: 1, 2: 11, 3: 0, 4: 0}",1
132,False,"{'a': 1, 'e': 0.8679999999999999}",25,0,-198.44535152706248,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
133,False,"{'a': 1, 'e': 0.8669999999999999}",20,3,-72.72731177424053,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
134,False,"{'a': 1, 'e': 0.8659999999999999}",20,0,-43.85111867538774,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 1, 'e': 0.8649999999999999}",20,0,-35.70925041246668,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
136,False,"{'a': 1, 'e': 0.8639999999999999}",20,0,-46.429064935779415,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 1, 'e': 0.8629999999999999}",25,0,-159.27864431437007,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
138,False,"{'a': 1, 'e': 0.8619999999999999}",25,0,-170.0123041776215,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
139,False,"{'a': 1, 'e': 0.8609999999999999}",25,0,-156.0165709466629,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
140,False,"{'a': 1, 'e': 0.8599999999999999}",20,6,-40.540976737002765,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 1, 'e': 0.8589999999999999}",20,0,-116.97537851084923,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
142,False,"{'a': 1, 'e': 0.8579999999999999}",20,0,-170.32026230925686,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
143,False,"{'a': 1, 'e': 0.8569999999999999}",35,0,-174.39971984442815,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
144,False,"{'a': 1, 'e': 0.8559999999999999}",20,0,-27.04145576084756,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
145,False,"{'a': 1, 'e': 0.8549999999999999}",20,0,-56.63379353906307,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
146,False,"{'a': 1, 'e': 0.8539999999999999}",20,10,1.5379986988906094,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 1, 'e': 0.8529999999999999}",20,0,-70.7903288859435,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
148,False,"{'a': 1, 'e': 0.8519999999999999}",30,0,-133.00878968866243,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
149,False,"{'a': 1, 'e': 0.8509999999999999}",30,0,-88.29181987965839,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
150,False,"{'a': 1, 'e': 0.8499999999999999}",25,0,-130.10360851281158,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
151,False,"{'a': 1, 'e': 0.8489999999999999}",20,14,-13.224815110186793,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 1, 'e': 0.8479999999999999}",20,0,-117.65691158136649,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
153,False,"{'a': 1, 'e': 0.8469999999999999}",25,0,-39.34773546908204,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
154,False,"{'a': 1, 'e': 0.8459999999999999}",20,0,-120.84974251579322,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
155,False,"{'a': 1, 'e': 0.8449999999999999}",20,0,-26.551605268360408,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 1, 'e': 0.8439999999999999}",20,7,1.3639003525936604,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 1, 'e': 0.8429999999999999}",20,0,-43.27222225591318,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
158,False,"{'a': 1, 'e': 0.8419999999999999}",25,0,-66.85549893102176,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 1, 'e': 0.8409999999999999}",25,0,-40.31489107487447,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
160,False,"{'a': 1, 'e': 0.8399999999999999}",25,0,-78.84406442643822,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
161,False,"{'a': 1, 'e': 0.8389999999999999}",30,0,-110.14280071300433,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
162,False,"{'a': 1, 'e': 0.8379999999999999}",30,0,-144.6902145295284,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
163,False,"{'a': 1, 'e': 0.8369999999999999}",20,0,-70.24821667064572,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
164,False,"{'a': 1, 'e': 0.8359999999999999}",30,0,-84.77179990837631,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
165,False,"{'a': 1, 'e': 0.8349999999999999}",20,0,-90.35383703673067,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
166,False,"{'a': 1, 'e': 0.8339999999999999}",25,0,-115.121598238755,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
167,False,"{'a': 1, 'e': 0.8329999999999999}",20,14,-14.046033740703354,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 1, 'e': 0.8319999999999999}",20,11,-65.795709441235,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 1, 'e': 0.8309999999999998}",30,0,-95.096113712552,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
170,False,"{'a': 1, 'e': 0.8299999999999998}",25,0,-37.17847593928566,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 1, 'e': 0.8289999999999998}",20,0,-86.24928053525171,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
172,False,"{'a': 1, 'e': 0.8279999999999998}",20,0,-84.83233841663561,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
173,False,"{'a': 1, 'e': 0.8269999999999998}",20,10,-8.568008861836155,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 1, 'e': 0.8259999999999998}",25,16,4.240914593495404,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 1, 'e': 0.8249999999999998}",20,10,-84.49128401859079,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 1}",1
176,False,"{'a': 1, 'e': 0.8239999999999998}",25,14,-17.618182994642666,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
177,False,"{'a': 1, 'e': 0.8229999999999998}",30,0,-177.60779168544585,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
178,False,"{'a': 1, 'e': 0.8219999999999998}",20,0,-101.47499909620294,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
179,False,"{'a': 1, 'e': 0.8209999999999998}",25,0,-85.51146691517968,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
180,False,"{'a': 1, 'e': 0.8199999999999998}",25,0,-103.04685712931354,"{0: 12, 1: 3, 2: 10, 3: 0, 4: 0}",0
181,False,"{'a': 1, 'e': 0.8189999999999998}",20,0,-74.99561912749363,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
